datetime,SO2,hour,dayofweek,hour_sin,hour_cos,dow_sin,dow_cos,SO2_lag_1,SO2_lag_6,SO2_lag_12,SO2_lag_24
2021-07-13 09:45:00,0.52346,9.0,1.0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,0.78518,0.52346,0.78518,0.52346
2021-07-13 10:00:00,1.04691,10.0,1.0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.52346,0.26173,0.78518,0.32716
2021-07-13 10:00:00,0.78518,10.0,1.0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,1.04691,0.58889,1.04691,0.52346
2021-07-13 10:15:00,1.04691,10.0,1.0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.78518,0.52346,0.85062,0.78518
2021-07-13 10:30:00,0.78518,10.0,1.0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,1.04691,0.78518,0.78518,0.78518
2021-07-13 10:45:00,0.78518,10.0,1.0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.78518,0.78518,1.04691,0.78518
2021-07-13 11:00:00,0.78518,11.0,1.0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,0.78518,0.52346,0.52346,0.71975
2021-07-13 11:00:00,0.85062,11.0,1.0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,0.78518,1.04691,0.26173,0.78518
2021-07-13 11:15:00,0.78518,11.0,1.0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,0.85062,0.78518,0.58889,1.04691
2021-07-13 11:30:00,1.04691,11.0,1.0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,0.78518,1.04691,0.52346,1.04691
2021-07-13 11:45:00,0.78518,11.0,1.0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,1.04691,0.78518,0.78518,0.98148
2021-07-13 12:00:00,0.78518,12.0,1.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.78518,0.78518,0.78518,1.04691
2021-07-13 12:00:00,0.52346,12.0,1.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.78518,0.78518,0.52346,0.78518
2021-07-13 12:15:00,0.78518,12.0,1.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.52346,0.85062,1.04691,0.78518
2021-07-13 12:30:00,0.78518,12.0,1.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.78518,0.78518,0.78518,1.04691
2021-07-13 12:45:00,1.04691,12.0,1.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.78518,1.04691,1.04691,0.85062
2021-07-13 13:00:00,0.78518,13.0,1.0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,1.04691,0.78518,0.78518,0.78518
